#Text=Über Bord gegangen ist damit die allgemeine Erklärung der Menschenrechte , nicht als unmittelbar praktikable Vorstellung , die sie im übrigen nie war , sondern sogar als Ideal - ohne die jedoch die vollentwickelte Apartheid weltweit der einzig logische Schluß sein kann : eine Vorstellung , die Khomeini bestimmt freudig begrüßen würde .
1-1	0-4	Über	*->1-1	non-literal-mwe[1]	
9-47	3969-3977	weiteren	_	_	
9-48	3978-3995	Lindan-Containern	_	_	
9-49	3996-4000	über	*->5-1	non-literal[5]	
9-50	4001-4005	Bord	*->5-2	*[5]	
9-51	4006-4014	gegangen	*->5-3	*[5]	
9-52	4015-4016	.	_	_	

#Text=Experimente gehen in einem solchen Fall zuerst über Bord .
11-1	5073-5084	Experimente	_	_	
11-2	5085-5090	gehen	*->6-1	non-literal-mwe[6]	
11-3	5091-5093	in	_	_	
11-4	5094-5099	einem	_	_	
11-5	5100-5107	solchen	_	_	
11-6	5108-5112	Fall	_	_	
11-7	5113-5119	zuerst	_	_	
11-8	5120-5124	über	*->6-2	*[6]	
11-9	5125-5129	Bord	*->6-3	*[6]	
11-10	5130-5131	.	_	_	

#Text=Die Euro-Grünen beobachten bei den EWR- Verhandlungen die Entwicklung eines Europas der Händler zwischen EG und Efta , bei dem die teilweise fortschrittlichere Umwelt- und Sozialpolitik der Efta- Länder über Bord gehe .
13-1	5758-5761	Die	_	_	
13-2	5762-5773	Euro-Grünen	_	_	
13-3	5774-5784	beobachten	_	_	
13-4	5785-5788	bei	_	_	
13-5	5789-5792	den	_	_	
13-6	5793-5797	EWR-	_	_	
13-7	5798-5811	Verhandlungen	_	_	
13-8	5812-5815	die	_	_	
13-9	5816-5827	Entwicklung	_	_	
13-10	5828-5833	eines	_	_	
13-11	5834-5841	Europas	_	_	
13-12	5842-5845	der	_	_	
13-13	5846-5853	Händler	_	_	
13-14	5854-5862	zwischen	_	_	
13-15	5863-5865	EG	_	_	
13-16	5866-5869	und	_	_	
13-17	5870-5874	Efta	_	_	
13-18	5875-5876	,	_	_	
13-19	5877-5880	bei	_	_	
13-20	5881-5884	dem	_	_	
13-21	5885-5888	die	_	_	
13-22	5889-5898	teilweise	_	_	
13-23	5899-5917	fortschrittlichere	_	_	
13-24	5918-5925	Umwelt-	_	_	
13-25	5926-5929	und	_	_	
13-26	5930-5943	Sozialpolitik	_	_	
13-27	5944-5947	der	_	_	
13-28	5948-5953	Efta-	_	_	
13-29	5954-5960	Länder	_	_	
13-30	5961-5965	über	*->7-1	non-literal-mwe[7]	
13-31	5966-5970	Bord	*->7-2	*[7]	
13-32	5971-5975	gehe	*->7-3	*[7]	
13-33	5976-5977	.	_	_	

#Text=Nick Baker , der Manager der Yachtagentur , bei der auch Maxwells " Lady Ghislaine " gemeldet war , sagte : " Selbst bei sehr hohem Seegang wäre es zwar möglich gewesen , über Bord zu gehen , aber immer noch ziemlich unwahrscheinlich .
15-1	7092-7096	Nick	_	_	
15-2	7097-7102	Baker	_	_	
15-3	7103-7104	,	_	_	
15-4	7105-7108	der	_	_	
15-5	7109-7116	Manager	_	_	
15-6	7117-7120	der	_	_	
15-7	7121-7133	Yachtagentur	_	_	
15-8	7134-7135	,	_	_	
15-9	7136-7139	bei	_	_	
15-10	7140-7143	der	_	_	
15-11	7144-7148	auch	_	_	
15-12	7149-7157	Maxwells	_	_	
15-13	7158-7159	"	_	_	
15-14	7160-7164	Lady	_	_	
15-15	7165-7174	Ghislaine	_	_	
15-16	7175-7176	"	_	_	
15-17	7177-7185	gemeldet	_	_	
15-18	7186-7189	war	_	_	
15-19	7190-7191	,	_	_	
15-20	7192-7197	sagte	_	_	
15-21	7198-7199	:	_	_	
15-22	7200-7201	"	_	_	
15-23	7202-7208	Selbst	_	_	
15-24	7209-7212	bei	_	_	
15-25	7213-7217	sehr	_	_	
15-26	7218-7223	hohem	_	_	
15-27	7224-7231	Seegang	_	_	
15-28	7232-7236	wäre	_	_	
15-29	7237-7239	es	_	_	
15-30	7240-7244	zwar	_	_	
15-31	7245-7252	möglich	_	_	
15-32	7253-7260	gewesen	_	_	
15-33	7261-7262	,	_	_	
15-34	7263-7267	über	*->8-1	non-literal[8]	
15-35	7268-7272	Bord	*->8-2	*[8]	
15-36	7273-7275	zu	_	_	
15-37	7276-7281	gehen	*->8-3	*[8]	
15-38	7282-7283	,	_	_	
15-39	7284-7288	aber	_	_	
15-40	7289-7294	immer	_	_	
15-41	7295-7299	noch	_	_	
15-42	7300-7308	ziemlich	_	_	
15-43	7309-7325	unwahrscheinlich	_	_	
15-44	7326-7327	.	_	_	

#Text=Deshalb ist es von entscheidender Bedeutung , ob Maxwell aufgrund eines Herzinfarkts über Bord gegangen ist ( natürlicher Tod ) oder ob er erst im Wasser einen Herzinfarkt erlitten hat ( Unfall ) .
17-1	8119-8126	Deshalb	_	_	
17-2	8127-8130	ist	_	_	
17-3	8131-8133	es	_	_	
17-4	8134-8137	von	_	_	
17-5	8138-8152	entscheidender	_	_	
17-6	8153-8162	Bedeutung	_	_	
17-7	8163-8164	,	_	_	
17-8	8165-8167	ob	_	_	
17-9	8168-8175	Maxwell	_	_	
17-10	8176-8184	aufgrund	_	_	
17-11	8185-8190	eines	_	_	
17-12	8191-8203	Herzinfarkts	_	_	
17-13	8204-8208	über	*->9-1	non-literal[9]	
17-14	8209-8213	Bord	*->9-2	*[9]	
17-15	8214-8222	gegangen	*->9-3	*[9]	
17-16	8223-8226	ist	_	_	
17-17	8227-8228	(	_	_	
17-18	8229-8240	natürlicher	_	_	
17-19	8241-8244	Tod	_	_	
17-20	8245-8246	)	_	_	
17-21	8247-8251	oder	_	_	
17-22	8252-8254	ob	_	_	
17-23	8255-8257	er	_	_	
17-24	8258-8262	erst	_	_	
17-25	8263-8265	im	_	_	
17-26	8266-8272	Wasser	_	_	
17-27	8273-8278	einen	_	_	
17-28	8279-8290	Herzinfarkt	_	_	
17-29	8291-8299	erlitten	_	_	
17-30	8300-8303	hat	_	_	
17-31	8304-8305	(	_	_	
17-32	8306-8312	Unfall	_	_	
17-33	8313-8314	)	_	_	
17-34	8315-8316	.	_	_	

#Text=Als Gabi , " Ich mach ` ein glückliches Mädchen aus Dir , die ganze Nacht " anstimmt , legt einer vom VEB-Kombinat Weiße Flotte vorsichtig seinen Arm um die Hübsche aus der Westberliner Verkehrs- und Hafenverwaltung ... " Kollege Kühl " soll über Bord gegangen sein , witzelt einer .
19-1	9024-9027	Als	_	_	
19-2	9028-9032	Gabi	_	_	
19-3	9033-9034	,	_	_	
19-4	9035-9036	"	_	_	
19-5	9037-9040	Ich	_	_	
19-6	9041-9045	mach	_	_	
19-7	9046-9047	`	_	_	
19-8	9048-9051	ein	_	_	
19-9	9052-9063	glückliches	_	_	
19-10	9064-9071	Mädchen	_	_	
19-11	9072-9075	aus	_	_	
19-12	9076-9079	Dir	_	_	
19-13	9080-9081	,	_	_	
19-14	9082-9085	die	_	_	
19-15	9086-9091	ganze	_	_	
19-16	9092-9097	Nacht	_	_	
19-17	9098-9099	"	_	_	
19-18	9100-9108	anstimmt	_	_	
19-19	9109-9110	,	_	_	
19-20	9111-9115	legt	_	_	
19-21	9116-9121	einer	_	_	
19-22	9122-9125	vom	_	_	
19-23	9126-9138	VEB-Kombinat	_	_	
19-24	9139-9144	Weiße	_	_	
19-25	9145-9151	Flotte	_	_	
19-26	9152-9162	vorsichtig	_	_	
19-27	9163-9169	seinen	_	_	
19-28	9170-9173	Arm	_	_	
19-29	9174-9176	um	_	_	
19-30	9177-9180	die	_	_	
19-31	9181-9188	Hübsche	_	_	
19-32	9189-9192	aus	_	_	
19-33	9193-9196	der	_	_	
19-34	9197-9209	Westberliner	_	_	
19-35	9210-9219	Verkehrs-	_	_	
19-36	9220-9223	und	_	_	
19-37	9224-9239	Hafenverwaltung	_	_	
19-38	9240-9243	...	_	_	
19-39	9244-9245	"	_	_	
19-40	9246-9253	Kollege	_	_	
19-41	9254-9258	Kühl	_	_	
19-42	9259-9260	"	_	_	
19-43	9261-9265	soll	_	_	
19-44	9266-9270	über	*->10-1	non-literal-mwe[10]	
19-45	9271-9275	Bord	*->10-2	*[10]	
19-46	9276-9284	gegangen	*->10-3	*[10]	
19-47	9285-9289	sein	_	_	
19-48	9290-9291	,	_	_	
19-49	9292-9299	witzelt	_	_	
19-50	9300-9305	einer	_	_	
19-51	9306-9307	.	_	_	

#Text=Statt dessen rollen zunehmend Wohnmobile auf die Wattensände , und so manche Chemietoilette geht über Bord : Die High-Tech-Goldeimer mit ihrem hochgiftigen Inhalt sind zu wahren Ökokillern geworden , die niemand entsorgen kann und will , denn sie bringen auch jede Biologie in kommunalen Kläranlagen um .
21-1	10002-10007	Statt	_	_	
21-2	10008-10014	dessen	_	_	
21-3	10015-10021	rollen	_	_	
21-4	10022-10031	zunehmend	_	_	
21-5	10032-10042	Wohnmobile	_	_	
21-6	10043-10046	auf	_	_	
21-7	10047-10050	die	_	_	
21-8	10051-10062	Wattensände	_	_	
21-9	10063-10064	,	_	_	
21-10	10065-10068	und	_	_	
21-11	10069-10071	so	_	_	
21-12	10072-10078	manche	_	_	
21-13	10079-10093	Chemietoilette	_	_	
21-14	10094-10098	geht	*->11-1	non-literal[11]	
21-15	10099-10103	über	*->11-2	*[11]	
21-16	10104-10108	Bord	*->11-3	*[11]	
21-17	10109-10110	:	_	_	
21-18	10111-10114	Die	_	_	
21-19	10115-10134	High-Tech-Goldeimer	_	_	
21-20	10135-10138	mit	_	_	
21-21	10139-10144	ihrem	_	_	
21-22	10145-10157	hochgiftigen	_	_	
21-23	10158-10164	Inhalt	_	_	
21-24	10165-10169	sind	_	_	
21-25	10170-10172	zu	_	_	
21-26	10173-10179	wahren	_	_	
21-27	10180-10190	Ökokillern	_	_	
21-28	10191-10199	geworden	_	_	
21-29	10200-10201	,	_	_	
21-30	10202-10205	die	_	_	
21-31	10206-10213	niemand	_	_	
21-32	10214-10223	entsorgen	_	_	
21-33	10224-10228	kann	_	_	
21-34	10229-10232	und	_	_	
21-35	10233-10237	will	_	_	
21-36	10238-10239	,	_	_	
21-37	10240-10244	denn	_	_	
21-38	10245-10248	sie	_	_	
21-39	10249-10256	bringen	_	_	
21-40	10257-10261	auch	_	_	
21-41	10262-10266	jede	_	_	
21-42	10267-10275	Biologie	_	_	
21-43	10276-10278	in	_	_	
21-44	10279-10289	kommunalen	_	_	
21-45	10290-10301	Kläranlagen	_	_	
21-46	10302-10304	um	_	_	
21-47	10305-10306	.	_	_	

#Text=" Die IG Metall will aber nicht nur zusehen , wie Rüstungsinteresssen der Bundesregierung und Gewinninteressen der Unternehmen in Einklang gebracht werden , die Interessen der Beschäftigten dabei aber über Bord gehen " , betonte der Gewerkschaftschef .
23-1	11995-11996	"	_	_	
23-2	11997-12000	Die	_	_	
23-3	12001-12003	IG	_	_	
23-4	12004-12010	Metall	_	_	
23-5	12011-12015	will	_	_	
23-6	12016-12020	aber	_	_	
23-7	12021-12026	nicht	_	_	
23-8	12027-12030	nur	_	_	
23-9	12031-12038	zusehen	_	_	
23-10	12039-12040	,	_	_	
23-11	12041-12044	wie	_	_	
23-12	12045-12064	Rüstungsinteresssen	_	_	
23-13	12065-12068	der	_	_	
23-14	12069-12084	Bundesregierung	_	_	
23-15	12085-12088	und	_	_	
23-16	12089-12105	Gewinninteressen	_	_	
23-17	12106-12109	der	_	_	
23-18	12110-12121	Unternehmen	_	_	
23-19	12122-12124	in	_	_	
23-20	12125-12133	Einklang	_	_	
23-21	12134-12142	gebracht	_	_	
23-22	12143-12149	werden	_	_	
23-23	12150-12151	,	_	_	
23-24	12152-12155	die	_	_	
23-25	12156-12166	Interessen	_	_	
23-26	12167-12170	der	_	_	
23-27	12171-12184	Beschäftigten	_	_	
23-28	12185-12190	dabei	_	_	
23-29	12191-12195	aber	_	_	
23-30	12196-12200	über	*->12-1	non-literal-mwe[12]	
23-31	12201-12205	Bord	*->12-2	*[12]	
23-32	12206-12211	gehen	*->12-3	*[12]	
23-33	12212-12213	"	_	_	
23-34	12214-12215	,	_	_	
23-35	12216-12223	betonte	_	_	
23-36	12224-12227	der	_	_	
23-37	12228-12245	Gewerkschaftschef	_	_	
23-38	12246-12247	.	_	_	

#Text=" Zu viel Gutes sei mit der Wende über Bord gegangen .
25-1	12634-12635	"	_	_	
25-2	12636-12638	Zu	_	_	
25-3	12639-12643	viel	_	_	
25-4	12644-12649	Gutes	_	_	
25-5	12650-12653	sei	_	_	
25-6	12654-12657	mit	_	_	
25-7	12658-12661	der	_	_	
25-8	12662-12667	Wende	_	_	
25-9	12668-12672	über	*->13-1	non-literal-mwe[13]	
25-10	12673-12677	Bord	*->13-2	*[13]	
25-11	12678-12686	gegangen	*->13-3	*[13]	
25-12	12687-12688	.	_	_	

#Text=Schätze sind dort zu finden , zum Teil noch in diesen unsäglichen Plastikeinschweißungen , Ausgaben , die das Herz eines Biblomanen schneller schlagen und die Haushaltsplanungen über Bord gehen lassen .
27-1	13588-13595	Schätze	_	_	
27-2	13596-13600	sind	_	_	
27-3	13601-13605	dort	_	_	
27-4	13606-13608	zu	_	_	
27-5	13609-13615	finden	_	_	
27-6	13616-13617	,	_	_	
27-7	13618-13621	zum	_	_	
27-8	13622-13626	Teil	_	_	
27-9	13627-13631	noch	_	_	
27-10	13632-13634	in	_	_	
27-11	13635-13641	diesen	_	_	
27-12	13642-13653	unsäglichen	_	_	
27-13	13654-13676	Plastikeinschweißungen	_	_	
27-14	13677-13678	,	_	_	
27-15	13679-13687	Ausgaben	_	_	
27-16	13688-13689	,	_	_	
27-17	13690-13693	die	_	_	
27-18	13694-13697	das	_	_	
27-19	13698-13702	Herz	_	_	
27-20	13703-13708	eines	_	_	
27-21	13709-13719	Biblomanen	_	_	
27-22	13720-13729	schneller	_	_	
27-23	13730-13738	schlagen	_	_	
27-24	13739-13742	und	_	_	
27-25	13743-13746	die	_	_	
27-26	13747-13765	Haushaltsplanungen	_	_	
27-27	13766-13770	über	*->14-1	non-literal-mwe[14]	
27-28	13771-13775	Bord	*->14-2	*[14]	
27-29	13776-13781	gehen	*->14-3	*[14]	
27-30	13782-13788	lassen	_	_	
27-31	13789-13790	.	_	_	

#Text=Die uns dauernd sagen , das Boot sei voll , verschweigen uns , was über Bord geht .
29-1	14076-14079	Die	_	_	
29-2	14080-14083	uns	_	_	
29-3	14084-14091	dauernd	_	_	
29-4	14092-14097	sagen	_	_	
29-5	14098-14099	,	_	_	
29-6	14100-14103	das	_	_	
29-7	14104-14108	Boot	_	_	
29-8	14109-14112	sei	_	_	
29-9	14113-14117	voll	_	_	
29-10	14118-14119	,	_	_	
29-11	14120-14132	verschweigen	_	_	
29-12	14133-14136	uns	_	_	
29-13	14137-14138	,	_	_	
29-14	14139-14142	was	_	_	
29-15	14143-14147	über	*->15-1	non-literal-mwe[15]	
29-16	14148-14152	Bord	*->15-2	*[15]	
29-17	14153-14157	geht	*->15-3	*[15]	
29-18	14158-14159	.	_	_	

#Text=Vielleicht ist es der Verlust eines politischen Leitbildes , das mit dem Sozialismus über Bord gegangen ist .
31-1	14496-14506	Vielleicht	_	_	
31-2	14507-14510	ist	_	_	
31-3	14511-14513	es	_	_	
31-4	14514-14517	der	_	_	
31-5	14518-14525	Verlust	_	_	
31-6	14526-14531	eines	_	_	
31-7	14532-14543	politischen	_	_	
31-8	14544-14554	Leitbildes	_	_	
31-9	14555-14556	,	_	_	
31-10	14557-14560	das	_	_	
31-11	14561-14564	mit	_	_	
31-12	14565-14568	dem	_	_	
31-13	14569-14580	Sozialismus	_	_	
31-14	14581-14585	über	*->16-1	non-literal-mwe[16]	
31-15	14586-14590	Bord	*->16-2	*[16]	
31-16	14591-14599	gegangen	*->16-3	*[16]	
31-17	14600-14603	ist	_	_	
31-18	14604-14605	.	_	_	

#Text=Tennisbälle nämlich waren an Deck denkbar ungeeignet , da sie gleich reihenweise über Bord gingen und ein Zurückholen angesichts der Gefahren durch beißende Haifische unmöglich war .
33-1	15404-15415	Tennisbälle	_	_	
33-2	15416-15423	nämlich	_	_	
33-3	15424-15429	waren	_	_	
33-4	15430-15432	an	_	_	
33-5	15433-15437	Deck	_	_	
33-6	15438-15445	denkbar	_	_	
33-7	15446-15456	ungeeignet	_	_	
33-8	15457-15458	,	_	_	
33-9	15459-15461	da	_	_	
33-10	15462-15465	sie	_	_	
33-11	15466-15472	gleich	_	_	
33-12	15473-15484	reihenweise	_	_	
33-13	15485-15489	über	*->17-1	non-literal[17]	
33-14	15490-15494	Bord	*->17-2	*[17]	
33-15	15495-15501	gingen	*->17-3	*[17]	
33-16	15502-15505	und	_	_	
33-17	15506-15509	ein	_	_	
33-18	15510-15521	Zurückholen	_	_	
33-19	15522-15532	angesichts	_	_	
33-20	15533-15536	der	_	_	
33-21	15537-15545	Gefahren	_	_	
33-22	15546-15551	durch	_	_	
33-23	15552-15560	beißende	_	_	
33-24	15561-15570	Haifische	_	_	
33-25	15571-15580	unmöglich	_	_	
33-26	15581-15584	war	_	_	
33-27	15585-15586	.	_	_	

#Text=Endgültig über Bord geht mit dem gestern verabschiedeten Gesetz das 1946 von den Alliierten verfügte Gebot der Trennung von Polizei und Geheimdienst .
35-1	17021-17030	Endgültig	_	_	
35-2	17031-17035	über	*->18-1	non-literal-mwe[18]	
35-3	17036-17040	Bord	*->18-2	*[18]	
35-4	17041-17045	geht	*->18-3	*[18]	
35-5	17046-17049	mit	_	_	
35-6	17050-17053	dem	_	_	
35-7	17054-17061	gestern	_	_	
35-8	17062-17077	verabschiedeten	_	_	
35-9	17078-17084	Gesetz	_	_	
35-10	17085-17088	das	_	_	
35-11	17089-17093	1946	_	_	
35-12	17094-17097	von	_	_	
35-13	17098-17101	den	_	_	
35-14	17102-17112	Alliierten	_	_	
35-15	17113-17121	verfügte	_	_	
35-16	17122-17127	Gebot	_	_	
35-17	17128-17131	der	_	_	
35-18	17132-17140	Trennung	_	_	
35-19	17141-17144	von	_	_	
35-20	17145-17152	Polizei	_	_	
35-21	17153-17156	und	_	_	
35-22	17157-17169	Geheimdienst	_	_	
35-23	17170-17171	.	_	_	

#Text=Manchmal ging auch die ganze Eimerkette dabei über Bord .
37-1	18057-18065	Manchmal	_	_	
37-2	18066-18070	ging	*->19-1	non-literal[19]	
37-3	18071-18075	auch	_	_	
37-4	18076-18079	die	_	_	
37-5	18080-18085	ganze	_	_	
37-6	18086-18096	Eimerkette	_	_	
37-7	18097-18102	dabei	_	_	
37-8	18103-18107	über	*->19-2	*[19]	
37-9	18108-18112	Bord	*->19-3	*[19]	
37-10	18113-18114	.	_	_	

#Text=" Schon will ich ein gereiztes " Red nicht so 'n Unsinn " dazwischenbellen , weil es ja doch gerade die Halbverrückten sind , die Kultur ausmachen , da biegt ein zum Lastentransporter umgestyltes Moped um die Ecke , auf der Ladefläche ein Rasta-Mann und ein Hund , der mit der rasanten Kurventechnik des Fahrers nicht zurechtkommt und über Bord geht .
39-1	18223-18224	"	_	_	
39-2	18225-18230	Schon	_	_	
39-3	18231-18235	will	_	_	
39-4	18236-18239	ich	_	_	
39-5	18240-18243	ein	_	_	
39-6	18244-18253	gereiztes	_	_	
39-7	18254-18255	"	_	_	
39-8	18256-18259	Red	_	_	
39-9	18260-18265	nicht	_	_	
39-10	18266-18268	so	_	_	
39-11	18269-18271	'n	_	_	
39-12	18272-18278	Unsinn	_	_	
39-13	18279-18280	"	_	_	
39-14	18281-18297	dazwischenbellen	_	_	
39-15	18298-18299	,	_	_	
39-16	18300-18304	weil	_	_	
39-17	18305-18307	es	_	_	
39-18	18308-18310	ja	_	_	
39-19	18311-18315	doch	_	_	
39-20	18316-18322	gerade	_	_	
39-21	18323-18326	die	_	_	
39-22	18327-18341	Halbverrückten	_	_	
39-23	18342-18346	sind	_	_	
39-24	18347-18348	,	_	_	
39-25	18349-18352	die	_	_	
39-26	18353-18359	Kultur	_	_	
39-27	18360-18369	ausmachen	_	_	
39-28	18370-18371	,	_	_	
39-29	18372-18374	da	_	_	
39-30	18375-18380	biegt	_	_	
39-31	18381-18384	ein	_	_	
39-32	18385-18388	zum	_	_	
39-33	18389-18406	Lastentransporter	_	_	
39-34	18407-18418	umgestyltes	_	_	
39-35	18419-18424	Moped	_	_	
39-36	18425-18427	um	_	_	
39-37	18428-18431	die	_	_	
39-38	18432-18436	Ecke	_	_	
39-39	18437-18438	,	_	_	
39-40	18439-18442	auf	_	_	
39-41	18443-18446	der	_	_	
39-42	18447-18457	Ladefläche	_	_	
39-43	18458-18461	ein	_	_	
39-44	18462-18472	Rasta-Mann	_	_	
39-45	18473-18476	und	_	_	
39-46	18477-18480	ein	_	_	
39-47	18481-18485	Hund	_	_	
39-48	18486-18487	,	_	_	
39-49	18488-18491	der	_	_	
39-50	18492-18495	mit	_	_	
39-51	18496-18499	der	_	_	
39-52	18500-18508	rasanten	_	_	
39-53	18509-18522	Kurventechnik	_	_	
39-54	18523-18526	des	_	_	
39-55	18527-18534	Fahrers	_	_	
39-56	18535-18540	nicht	_	_	
39-57	18541-18553	zurechtkommt	_	_	
39-58	18554-18557	und	_	_	
39-59	18558-18562	über	*->20-1	non-literal[20]	
39-60	18563-18567	Bord	*->20-2	*[20]	
39-61	18568-18572	geht	*->20-3	*[20]	
39-62	18573-18574	.	_	_	

#Text=" Thank God that Maxwell became a floating issue himself " , befand jedenfalls der ' Index ` - Chefredakteur , auf den Tod des über Bord seiner eigenen Luxusjacht gegangenen Pressezaren anspielend .
